Movie_Rank,Movie_Name,Worldwide_Gross,Domestic_Gross,Domestic_Percent,Foreign_Gross,Foreign_Percent
1,Mission: Impossible II,"$546,388,108",215409889.0,39.4,330978219.0,60.6
2,Gladiator,"$460,583,960",187705427.0,40.8,272878533.0,59.2
3,Cast Away,"$429,632,142",233632142.0,54.4,196000000.0,45.6
4,What Women Want,"$374,111,707",182811707.0,48.9,191300000.0,51.1
5,Dinosaur,"$349,822,765",137748063.0,39.4,212074702.0,60.6
6,How the Grinch Stole Christmas,"$346,328,278",261231700.0,75.4,85096578.0,24.6
7,Meet the Parents,"$330,444,045",166244045.0,50.3,164200000.0,49.7
8,The Perfect Storm,"$328,718,434",182618434.0,55.6,146100000.0,44.4
9,X-Men,"$296,339,528",157299718.0,53.1,139039810.0,46.9
10,What Lies Beneath,"$291,420,351",155464351.0,53.3,135956000.0,46.7
11,Scary Movie,"$278,019,771",157019771.0,56.5,121000000.0,43.5
12,Charlie's Angels,"$264,105,545",125305545.0,47.4,138800000.0,52.6
13,Erin Brockovich,"$256,271,286",125595205.0,49.0,130676081.0,51.0
14,Unbreakable,"$248,118,121",95011339.0,38.3,153106782.0,61.7
15,Gone in 60 Seconds,"$237,202,299",101648571.0,42.9,135553728.0,57.1
16,Chicken Run,"$224,834,564",106834564.0,47.5,118000000.0,52.5
17,Vertical Limit,"$215,663,859",69243859.0,32.1,146420000.0,67.9
18,The Patriot,"$215,294,342",113330342.0,52.6,101964000.0,47.4
19,"Crouching Tiger, Hidden Dragon","$213,525,736",128078872.0,60.0,85446864.0,40.0
20,Miss Congeniality,"$212,742,720",106807667.0,50.2,105935053.0,49.8
21,Traffic,"$207,515,725",124115725.0,59.8,83400000.0,40.2
22,Hollow Man,"$190,213,455",73209340.0,38.5,117004115.0,61.5
23,102 Dalmatians,"$183,611,771",66957026.0,36.5,116654745.0,63.5
24,Big Momma's House,"$173,959,438",117559438.0,67.6,56400000.0,32.4
